time,x,y,z
0.002,0.17,0.81,0.58
0.012,0.17,0.80,0.58
0.013,0.15,0.79,0.58
0.017,0.17,0.80,0.56
0.028,0.17,0.80,0.57
0.029,0.18,0.80,0.57
0.032,0.19,0.81,0.57
0.037,0.22,0.81,0.58
0.044,0.23,0.80,0.58
0.047,0.25,0.80,0.57
0.052,0.26,0.80,0.57
0.091,0.24,0.78,0.57
0.092,0.23,0.78,0.59
0.093,0.19,0.80,0.60
0.093,0.16,0.80,0.60
0.094,0.16,0.79,0.59
0.094,0.17,0.78,0.58
0.095,0.17,0.79,0.57
0.095,0.18,0.78,0.62
0.096,0.18,0.79,0.61
0.101,0.18,0.78,0.64
0.106,0.18,0.79,0.64
0.113,0.16,0.79,0.64
0.117,0.17,0.80,0.65
0.121,0.17,0.80,0.63
0.130,0.18,0.80,0.62
0.131,0.18,0.80,0.60
0.136,0.18,0.80,0.60
0.145,0.16,0.80,0.61
0.146,0.17,0.80,0.60
0.151,0.18,0.80,0.62
0.156,0.17,0.79,0.60
0.205,0.18,0.79,0.59
0.206,0.19,0.80,0.62
0.207,0.18,0.81,0.62
0.208,0.18,0.80,0.63
0.208,0.17,0.79,0.63
0.209,0.17,0.80,0.61
0.209,0.18,0.81,0.62
0.210,0.18,0.81,0.61
0.211,0.18,0.81,0.61
0.211,0.18,0.80,0.62
0.212,0.18,0.79,0.61
0.215,0.18,0.79,0.61
0.220,0.17,0.80,0.58
0.228,0.18,0.81,0.59
0.230,0.18,0.80,0.61
0.235,0.18,0.79,0.61
0.239,0.19,0.79,0.62
0.246,0.19,0.79,0.62
0.250,0.18,0.79,0.64
0.255,0.18,0.78,0.62
0.292,0.18,0.80,0.63
0.293,0.18,0.79,0.62
0.294,0.18,0.79,0.62
0.294,0.19,0.78,0.60
0.295,0.20,0.78,0.58
0.295,0.19,0.79,0.59
0.296,0.19,0.79,0.58
0.296,0.20,0.79,0.61
0.299,0.19,0.78,0.63
0.305,0.18,0.79,0.64
0.311,0.17,0.80,0.66
0.314,0.17,0.79,0.65
0.319,0.17,0.76,0.65
0.329,0.17,0.77,0.66
0.329,0.18,0.78,0.65
0.335,0.18,0.80,0.62
0.339,0.18,0.81,0.65
0.344,0.18,0.79,0.65
0.349,0.18,0.79,0.63
0.354,0.18,0.78,0.64
0.397,0.20,0.79,0.60
0.398,0.21,0.79,0.59
0.398,0.22,0.80,0.58
0.401,0.22,0.79,0.57
0.402,0.21,0.79,0.59
0.403,0.20,0.80,0.63
0.403,0.20,0.78,0.66
0.404,0.19,0.78,0.66
0.404,0.19,0.77,0.62
0.405,0.18,0.78,0.59
0.413,0.16,0.79,0.58
0.414,0.15,0.79,0.59
0.418,0.13,0.80,0.61
0.423,0.13,0.79,0.64
0.429,0.13,0.78,0.66
0.433,0.16,0.77,0.68
0.438,0.16,0.78,0.68
0.444,0.17,0.78,0.65
0.448,0.18,0.79,0.65
0.453,0.19,0.79,0.65
0.501,0.21,0.78,0.65
0.502,0.21,0.79,0.64
0.502,0.19,0.79,0.65
0.503,0.19,0.79,0.66
0.503,0.17,0.80,0.69
0.504,0.17,0.80,0.64
0.504,0.17,0.80,0.62
0.505,0.17,0.80,0.58
0.505,0.15,0.81,0.56
0.506,0.14,0.82,0.56
0.507,0.14,0.81,0.57
0.512,0.14,0.80,0.60
0.516,0.13,0.80,0.61
0.521,0.13,0.80,0.59
0.528,0.13,0.80,0.58
0.531,0.13,0.79,0.60
0.536,0.12,0.79,0.60
0.543,0.12,0.80,0.58
0.546,0.14,0.80,0.58
0.551,0.15,0.81,0.57
0.556,0.15,0.82,0.58
0.627,0.16,0.82,0.60
0.627,0.15,0.81,0.58
0.628,0.16,0.81,0.59
0.629,0.15,0.82,0.57
0.630,0.15,0.80,0.59
0.630,0.16,0.80,0.56
0.631,0.18,0.81,0.57
0.631,0.17,0.82,0.54
0.632,0.15,0.81,0.54
0.633,0.17,0.81,0.55
0.633,0.16,0.82,0.54
0.634,0.17,0.81,0.53
0.635,0.17,0.81,0.55
0.636,0.17,0.82,0.57
