time,x,y,z
0.004,0.11,0.67,0.77
0.005,0.11,0.67,0.80
0.010,0.12,0.66,0.82
0.015,0.13,0.66,0.84
0.023,0.13,0.66,0.85
0.025,0.13,0.65,0.86
0.030,0.13,0.65,0.86
0.040,0.12,0.65,0.86
0.040,0.12,0.66,0.85
0.045,0.11,0.66,0.84
0.050,0.11,0.66,0.83
0.091,0.11,0.66,0.82
0.092,0.12,0.66,0.81
0.093,0.13,0.66,0.80
0.093,0.13,0.66,0.79
0.094,0.13,0.67,0.77
0.094,0.13,0.68,0.76
0.095,0.14,0.68,0.75
0.095,0.14,0.68,0.74
0.096,0.14,0.67,0.73
0.099,0.14,0.66,0.72
0.107,0.13,0.65,0.71
0.109,0.14,0.65,0.71
0.114,0.14,0.66,0.72
0.129,0.15,0.68,0.73
0.130,0.15,0.68,0.74
0.131,0.15,0.68,0.75
0.133,0.15,0.66,0.77
0.141,0.15,0.65,0.78
0.143,0.15,0.64,0.80
0.148,0.15,0.64,0.81
0.193,0.15,0.64,0.81
0.194,0.15,0.65,0.81
0.194,0.15,0.65,0.81
0.195,0.17,0.64,0.80
0.195,0.18,0.64,0.79
0.196,0.19,0.63,0.78
0.196,0.20,0.63,0.77
0.197,0.19,0.64,0.75
0.197,0.19,0.65,0.75
0.198,0.18,0.65,0.75
0.207,0.17,0.66,0.75
0.208,0.17,0.66,0.76
0.213,0.17,0.66,0.77
0.218,0.18,0.65,0.77
0.224,0.18,0.65,0.77
0.227,0.18,0.65,0.77
0.232,0.18,0.65,0.77
0.240,0.17,0.65,0.76
0.242,0.17,0.65,0.76
0.247,0.17,0.65,0.75
0.288,0.17,0.65,0.75
0.289,0.18,0.64,0.74
0.289,0.18,0.64,0.74
0.290,0.19,0.64,0.74
0.290,0.20,0.65,0.74
0.291,0.20,0.65,0.74
0.292,0.20,0.65,0.74
0.292,0.20,0.66,0.75
0.293,0.20,0.66,0.75
0.296,0.21,0.66,0.76
0.306,0.22,0.66,0.76
0.307,0.22,0.66,0.77
0.311,0.22,0.65,0.77
0.316,0.22,0.65,0.76
0.324,0.21,0.66,0.76
0.326,0.21,0.66,0.76
0.331,0.20,0.66,0.75
0.339,0.19,0.66,0.75
0.341,0.18,0.65,0.75
0.346,0.18,0.65,0.75
0.385,0.18,0.64,0.74
0.386,0.19,0.64,0.73
0.386,0.19,0.64,0.72
0.387,0.19,0.64,0.70
0.387,0.19,0.64,0.69
0.388,0.19,0.63,0.68
0.388,0.19,0.63,0.67
0.389,0.20,0.63,0.67
0.390,0.20,0.63,0.67
0.395,0.20,0.63,0.67
0.401,0.20,0.63,0.67
0.407,0.20,0.62,0.67
0.410,0.20,0.62,0.68
0.415,0.19,0.61,0.69
0.422,0.19,0.61,0.69
0.425,0.18,0.61,0.70
0.430,0.17,0.61,0.70
0.438,0.17,0.60,0.70
0.440,0.18,0.59,0.70
0.445,0.18,0.57,0.70
0.450,0.18,0.56,0.68
0.488,0.18,0.54,0.67
0.488,0.18,0.53,0.65
0.489,0.17,0.52,0.63
0.490,0.16,0.50,0.60
0.490,0.16,0.48,0.56
0.491,0.17,0.46,0.57
0.491,0.17,0.44,0.60
0.492,0.17,0.42,0.61
0.494,0.17,0.40,0.60
0.499,0.17,0.39,0.57
0.505,0.15,0.38,0.54
0.509,0.14,0.39,0.53
0.514,0.12,0.40,0.54
0.522,0.10,0.41,0.54
0.524,0.09,0.42,0.55
0.529,0.08,0.43,0.57
0.538,0.07,0.43,0.61
0.539,0.05,0.44,0.66
0.544,0.04,0.45,0.73
0.548,0.03,0.46,0.80
0.585,0.02,0.48,0.86
0.585,0.03,0.50,0.91
0.586,0.04,0.51,0.97
0.586,0.06,0.53,1.01
0.587,0.09,0.54,1.04
0.587,0.11,0.56,1.08
0.588,0.14,0.58,1.10
0.588,0.17,0.59,1.12
0.593,0.18,0.61,1.12
0.598,0.20,0.61,1.12
0.605,0.22,0.62,1.11
0.611,0.23,0.63,1.10
0.613,0.24,0.64,1.08
0.622,0.24,0.65,1.07
0.623,0.24,0.66,1.05
0.628,0.24,0.67,1.03
0.633,0.23,0.67,1.02
0.638,0.22,0.68,1.01
0.643,0.20,0.69,1.00
0.648,0.18,0.69,1.01
0.721,0.16,0.69,1.01
0.722,0.16,0.69,1.01
0.722,0.16,0.69,1.01
0.723,0.17,0.70,1.02
0.723,0.18,0.70,1.03
0.723,0.19,0.70,1.03
0.724,0.21,0.71,1.04
0.724,0.22,0.71,1.04
0.725,0.23,0.71,1.04
0.725,0.24,0.71,1.03
0.726,0.25,0.71,1.02
0.726,0.26,0.72,1.01
0.727,0.26,0.72,1.00
0.727,0.26,0.73,0.99
0.727,0.26,0.73,0.98
0.728,0.26,0.73,0.97
0.732,0.26,0.73,0.96
0.741,0.26,0.73,0.95
0.742,0.27,0.72,0.94
0.746,0.27,0.72,0.93
0.780,0.28,0.73,0.93
0.781,0.28,0.73,0.93
0.781,0.29,0.74,0.94
0.782,0.28,0.74,0.95
0.782,0.28,0.74,0.95
0.783,0.28,0.75,0.95
0.783,0.28,0.75,0.96
0.789,0.28,0.76,0.97
0.791,0.28,0.76,0.99
0.796,0.28,0.76,1.01
0.804,0.28,0.76,1.02
0.806,0.29,0.76,1.04
0.810,0.30,0.75,1.05
0.815,0.31,0.75,1.07
0.822,0.32,0.74,1.08
0.825,0.33,0.73,1.08
0.830,0.35,0.73,1.08
0.837,0.36,0.73,1.08
0.840,0.36,0.73,1.08
0.845,0.37,0.73,1.06
0.850,0.37,0.74,1.04
0.885,0.36,0.74,1.03
0.886,0.36,0.75,1.01
0.886,0.35,0.76,1.00
0.887,0.36,0.77,1.00
0.887,0.37,0.78,1.00
0.888,0.38,0.78,1.01
0.889,0.40,0.77,1.02
0.890,0.41,0.77,1.03
0.894,0.42,0.78,1.04
0.899,0.43,0.78,1.06
0.905,0.43,0.78,1.06
0.909,0.44,0.78,1.07
0.914,0.44,0.77,1.07
0.921,0.45,0.77,1.07
0.928,0.46,0.77,1.05
0.930,0.46,0.77,1.04
0.941,0.46,0.78,1.03
0.942,0.46,0.78,1.03
0.944,0.46,0.79,1.02
0.949,0.46,0.79,1.01
0.982,0.46,0.79,1.00
0.983,0.47,0.80,1.01
0.983,0.48,0.80,1.00
0.984,0.49,0.81,1.00
0.984,0.51,0.82,1.02
0.985,0.52,0.81,1.01
0.985,0.54,0.81,0.99
0.990,0.54,0.81,0.98
0.993,0.54,0.81,0.98
0.998,0.53,0.82,0.97
1.004,0.52,0.82,0.95
1.008,0.51,0.83,0.94
1.013,0.49,0.84,0.93
1.020,0.48,0.84,0.92
1.023,0.47,0.84,0.91
1.028,0.46,0.84,0.90
1.033,0.46,0.84,0.90
1.038,0.46,0.84,0.90
1.043,0.47,0.84,0.90
1.048,0.48,0.84,0.90
1.085,0.50,0.83,0.90
1.086,0.51,0.81,0.90
1.087,0.51,0.80,0.90
1.087,0.51,0.79,0.90
1.088,0.49,0.78,0.88
1.088,0.48,0.80,0.86
1.089,0.49,0.81,0.84
1.089,0.50,0.82,0.83
1.094,0.51,0.83,0.82
1.099,0.52,0.83,0.82
1.105,0.52,0.83,0.80
1.114,0.52,0.83,0.79
1.117,0.51,0.83,0.77
1.118,0.50,0.83,0.75
1.126,0.48,0.82,0.74
1.128,0.47,0.81,0.73
1.134,0.45,0.80,0.73
1.139,0.44,0.79,0.73
1.143,0.44,0.78,0.74
1.151,0.45,0.77,0.74
1.152,0.47,0.77,0.75
1.158,0.48,0.76,0.75
1.163,0.50,0.76,0.74
1.224,0.51,0.77,0.72
1.225,0.52,0.77,0.70
1.225,0.52,0.78,0.68
1.226,0.51,0.78,0.65
1.227,0.51,0.78,0.63
1.227,0.52,0.77,0.61
1.228,0.52,0.77,0.60
1.228,0.52,0.76,0.59
1.229,0.51,0.75,0.58
1.230,0.51,0.73,0.56
1.230,0.52,0.72,0.53
1.232,0.53,0.70,0.50
1.233,0.55,0.68,0.48
1.233,0.57,0.68,0.46
1.242,0.59,0.67,0.44
1.243,0.60,0.66,0.44
1.247,0.61,0.65,0.43
1.317,0.61,0.65,0.41
1.318,0.61,0.65,0.40
1.318,0.60,0.64,0.40
1.319,0.58,0.64,0.40
1.320,0.56,0.63,0.40
1.321,0.53,0.62,0.41
1.322,0.50,0.62,0.42
1.322,0.47,0.62,0.43
1.323,0.44,0.60,0.45
1.323,0.43,0.59,0.46
1.324,0.43,0.56,0.47
1.325,0.43,0.55,0.47
1.325,0.43,0.55,0.48
1.326,0.43,0.55,0.48
1.327,0.43,0.55,0.47
1.327,0.43,0.54,0.46
1.330,0.43,0.53,0.44
1.336,0.42,0.53,0.41
1.341,0.41,0.52,0.38
1.345,0.40,0.52,0.35
1.358,0.40,0.52,0.32
1.360,0.40,0.52,0.31
1.360,0.39,0.51,0.30
1.364,0.38,0.50,0.30
1.375,0.37,0.49,0.29
1.376,0.35,0.49,0.30
1.379,0.32,0.48,0.32
1.444,0.30,0.47,0.34
1.445,0.27,0.47,0.37
1.446,0.25,0.46,0.40
1.446,0.23,0.46,0.41
1.447,0.22,0.45,0.42
1.447,0.21,0.45,0.41
1.448,0.20,0.44,0.40
1.449,0.20,0.45,0.39
1.449,0.19,0.46,0.37
1.450,0.18,0.47,0.36
1.451,0.18,0.48,0.35
1.451,0.18,0.49,0.34
1.452,0.18,0.49,0.33
1.453,0.19,0.50,0.31
1.454,0.19,0.51,0.30
1.461,0.20,0.52,0.29
1.465,0.20,0.53,0.29
1.518,0.20,0.53,0.29
1.518,0.20,0.53,0.30
1.519,0.20,0.53,0.30
1.520,0.19,0.52,0.30
1.520,0.17,0.52,0.30
1.521,0.16,0.53,0.29
1.522,0.15,0.53,0.28
1.523,0.14,0.53,0.28
1.523,0.13,0.53,0.27
1.524,0.13,0.53,0.27
1.524,0.12,0.53,0.26
1.525,0.11,0.53,0.26
1.528,0.12,0.53,0.26
1.533,0.12,0.53,0.26
1.540,0.12,0.54,0.26
1.543,0.12,0.55,0.26
1.548,0.12,0.56,0.27
1.558,0.13,0.58,0.27
1.559,0.12,0.59,0.27
1.563,0.12,0.59,0.26
1.658,0.12,0.59,0.25
1.659,0.12,0.60,0.24
1.660,0.10,0.60,0.24
1.660,0.09,0.61,0.24
1.661,0.08,0.60,0.23
1.661,0.06,0.60,0.23
1.746,0.06,0.61,0.23
1.746,0.04,0.61,0.22
1.747,0.04,0.61,0.21
1.750,0.03,0.61,0.19
1.750,0.03,0.61,0.18
1.751,0.04,0.62,0.18
1.752,0.05,0.62,0.19
1.752,0.06,0.62,0.20
1.753,0.06,0.61,0.20
1.753,0.05,0.61,0.21
1.755,0.05,0.62,0.22
1.756,0.04,0.63,0.24
1.756,0.03,0.63,0.25
1.757,0.01,0.63,0.26
1.758,-0.01,0.62,0.25
1.759,-0.02,0.62,0.26
1.760,-0.04,0.61,0.26
1.760,-0.05,0.60,0.27
1.761,-0.07,0.60,0.27
1.762,-0.08,0.60,0.28
1.762,-0.09,0.60,0.28
1.763,-0.09,0.60,0.28
1.764,-0.09,0.61,0.29
1.765,-0.09,0.61,0.28
1.766,-0.09,0.62,0.27
1.766,-0.08,0.62,0.25
1.767,-0.07,0.63,0.24
1.768,-0.06,0.64,0.23
1.769,-0.05,0.65,0.22
1.770,-0.05,0.65,0.22
1.770,-0.05,0.65,0.23
1.771,-0.05,0.65,0.24
1.771,-0.06,0.64,0.25
1.772,-0.08,0.64,0.27
1.773,-0.09,0.63,0.27
1.773,-0.12,0.63,0.29
1.774,-0.14,0.63,0.30
1.795,-0.16,0.64,0.32
1.796,-0.18,0.64,0.33
1.797,-0.19,0.64,0.34
1.797,-0.19,0.65,0.36
1.801,-0.18,0.66,0.38
1.874,-0.17,0.66,0.39
1.875,-0.15,0.67,0.41
1.876,-0.13,0.68,0.41
1.877,-0.12,0.69,0.41
1.878,-0.10,0.70,0.41
1.879,-0.08,0.72,0.41
1.880,-0.07,0.73,0.41
1.881,-0.06,0.74,0.41
1.882,-0.05,0.74,0.41
1.882,-0.05,0.74,0.42
1.883,-0.05,0.75,0.42
1.884,-0.06,0.75,0.42
1.885,-0.07,0.76,0.42
1.885,-0.09,0.77,0.41
1.886,-0.10,0.77,0.41
1.887,-0.11,0.77,0.42
1.887,-0.12,0.76,0.43
1.889,-0.13,0.75,0.44
1.893,-0.14,0.75,0.45
1.898,-0.14,0.75,0.47
1.950,-0.15,0.74,0.50
1.951,-0.14,0.74,0.52
1.953,-0.13,0.73,0.56
1.955,-0.13,0.72,0.59
1.955,-0.12,0.72,0.61
1.956,-0.11,0.72,0.63
1.957,-0.11,0.73,0.64
1.958,-0.11,0.75,0.65
1.958,-0.11,0.76,0.66
1.960,-0.11,0.77,0.68
1.963,-0.12,0.79,0.70
1.964,-0.12,0.80,0.71
1.966,-0.14,0.82,0.72
1.968,-0.14,0.83,0.72
2.050,-0.14,0.84,0.73
2.051,-0.13,0.84,0.74
2.052,-0.12,0.84,0.76
2.053,-0.11,0.84,0.77
2.053,-0.09,0.84,0.79
2.054,-0.07,0.83,0.80
2.055,-0.06,0.83,0.82
2.055,-0.03,0.83,0.83
2.056,-0.02,0.83,0.85
2.057,-0.01,0.84,0.89
2.058,0.02,0.84,0.93
2.058,0.03,0.85,0.99
2.059,0.03,0.87,1.05
2.060,0.03,0.89,1.08
2.061,0.03,0.91,1.09
2.062,0.03,0.91,1.08
2.063,0.02,0.91,1.07
2.063,0.02,0.90,1.06
2.064,0.01,0.89,1.05
2.067,0.01,0.88,1.04
2.139,0.01,0.87,1.03
2.140,0.00,0.85,1.03
2.140,0.00,0.85,1.03
2.141,0.02,0.85,1.05
2.146,0.08,0.82,1.09
2.147,0.09,0.81,1.08
2.148,0.09,0.83,1.07
2.148,0.11,0.84,1.07
2.149,0.12,0.85,1.09
2.149,0.14,0.85,1.11
2.150,0.15,0.86,1.13
2.151,0.15,0.87,1.14
2.202,0.15,0.88,1.14
2.202,0.16,0.88,1.14
2.203,0.17,0.88,1.14
2.204,0.18,0.88,1.13
2.204,0.18,0.88,1.13
2.205,0.19,0.87,1.14
2.206,0.19,0.87,1.13
2.206,0.19,0.86,1.13
2.207,0.19,0.86,1.12
2.207,0.20,0.86,1.13
2.208,0.22,0.86,1.12
2.211,0.23,0.86,1.12
2.216,0.25,0.85,1.10
2.223,0.26,0.84,1.10
2.225,0.27,0.82,1.10
2.230,0.28,0.82,1.08
2.301,0.28,0.82,1.07
2.302,0.29,0.82,1.07
2.302,0.29,0.82,1.06
2.304,0.29,0.81,1.04
2.305,0.29,0.80,1.03
2.306,0.28,0.79,1.02
2.306,0.27,0.78,1.01
2.307,0.26,0.78,1.01
2.309,0.26,0.77,1.02
2.309,0.26,0.76,1.03
2.311,0.26,0.75,1.04
2.312,0.26,0.73,1.06
2.313,0.27,0.72,1.07
2.315,0.28,0.71,1.09
2.316,0.29,0.70,1.10
2.316,0.30,0.68,1.10
2.318,0.31,0.67,1.09
2.319,0.32,0.66,1.08
2.324,0.34,0.65,1.08
2.329,0.34,0.65,1.05
2.340,0.37,0.64,1.05
2.341,0.40,0.62,1.04
2.345,0.41,0.60,1.02
2.351,0.41,0.59,1.00
2.419,0.41,0.59,0.98
2.420,0.41,0.60,0.98
2.421,0.40,0.60,0.99
2.421,0.40,0.60,1.00
2.422,0.39,0.59,1.01
2.423,0.39,0.58,1.02
2.423,0.38,0.57,1.03
2.424,0.38,0.56,1.04
2.424,0.37,0.55,1.04
2.425,0.36,0.54,1.04
2.426,0.35,0.53,1.03
2.426,0.34,0.52,1.02
2.427,0.33,0.52,0.99
2.427,0.34,0.52,0.98
2.428,0.34,0.52,0.97
2.429,0.35,0.51,0.95
2.434,0.36,0.50,0.91
2.442,0.36,0.50,0.87
2.442,0.36,0.50,0.83
2.448,0.37,0.52,0.81
2.518,0.37,0.52,0.80
2.520,0.36,0.53,0.78
2.521,0.33,0.53,0.78
2.522,0.31,0.53,0.80
2.522,0.30,0.54,0.83
2.523,0.28,0.54,0.86
2.524,0.26,0.54,0.89
2.525,0.24,0.54,0.91
2.526,0.22,0.53,0.93
2.526,0.20,0.51,0.94
2.527,0.19,0.50,0.94
2.528,0.18,0.49,0.94
2.529,0.16,0.48,0.93
2.530,0.14,0.47,0.92
2.530,0.11,0.47,0.90
2.531,0.08,0.48,0.89
2.532,0.06,0.48,0.87
2.542,0.03,0.50,0.85
2.542,0.02,0.51,0.84
2.546,0.01,0.53,0.82
2.636,0.02,0.54,0.81
2.637,0.03,0.56,0.80
2.638,0.05,0.56,0.81
2.638,0.07,0.57,0.81
2.640,0.09,0.57,0.83
2.640,0.10,0.58,0.86
2.641,0.10,0.59,0.90
