time,x,y,z
0.003,-0.12,0.36,0.94
0.011,-0.12,0.37,0.93
0.013,-0.10,0.37,0.92
0.018,-0.09,0.38,0.92
0.027,-0.08,0.37,0.92
0.028,-0.07,0.36,0.93
0.033,-0.07,0.36,0.94
0.038,-0.05,0.35,0.94
0.044,-0.09,0.33,0.92
0.048,-0.09,0.34,0.93
0.052,-0.08,0.33,0.95
0.097,-0.10,0.31,0.90
0.098,-0.10,0.32,0.91
0.098,-0.10,0.30,1.03
0.099,-0.10,0.27,1.05
0.099,-0.08,0.25,1.00
0.100,0.00,0.17,0.99
0.100,0.03,0.13,0.99
0.101,-0.00,0.14,1.01
0.101,-0.03,0.19,0.99
0.102,0.03,0.24,0.98
0.111,-0.08,0.28,1.03
0.112,-0.11,0.29,0.99
0.117,-0.12,0.32,0.96
0.122,-0.11,0.35,0.93
0.127,-0.07,0.33,0.97
0.132,-0.00,0.31,0.99
0.137,0.02,0.27,1.04
0.144,0.01,0.27,1.06
0.146,-0.02,0.24,1.05
0.151,-0.04,0.20,1.06
0.197,-0.03,0.17,1.07
0.198,0.02,0.14,1.03
0.198,0.05,0.13,0.97
0.199,0.08,0.11,0.92
0.199,0.08,0.11,0.89
0.200,0.08,0.05,0.93
0.200,-0.02,-0.07,0.96
0.200,-0.05,-0.12,1.01
0.201,-0.03,-0.08,1.00
0.203,0.04,0.01,0.99
0.212,0.11,0.15,1.04
0.213,0.11,0.23,1.13
0.216,0.08,0.22,1.13
0.221,0.08,0.17,1.14
0.227,0.06,0.14,1.22
0.231,0.05,0.12,1.26
0.235,0.05,0.14,1.28
0.282,0.06,0.14,1.26
0.283,0.07,0.15,1.26
0.283,0.09,0.15,1.26
0.284,0.10,0.16,1.26
0.284,0.14,0.15,1.25
0.285,0.15,0.15,1.25
0.286,0.17,0.16,1.23
0.286,0.19,0.17,1.19
0.287,0.19,0.17,1.13
0.287,0.21,0.15,1.09
0.295,0.21,0.12,1.04
0.296,0.19,0.07,0.99
0.300,0.17,0.02,0.98
0.305,0.17,-0.03,1.04
0.312,0.20,-0.06,1.11
0.315,0.22,-0.08,1.20
0.319,0.24,-0.05,1.24
0.329,0.25,-0.03,1.24
0.330,0.28,-0.02,1.25
0.334,0.28,-0.02,1.26
0.339,0.29,-0.01,1.23
0.345,0.30,0.01,1.21
0.349,0.30,-0.00,1.16
0.354,0.29,-0.01,1.17
0.403,0.27,-0.04,1.21
0.404,0.23,-0.09,1.29
0.405,0.25,-0.11,1.51
0.405,0.27,-0.12,1.43
0.406,0.23,-0.19,1.48
0.407,0.17,-0.21,1.45
0.408,0.06,-0.30,1.38
0.409,-0.05,-0.42,1.32
0.409,-0.09,-0.51,1.28
0.410,-0.11,-0.54,1.24
0.410,-0.11,-0.50,1.22
0.418,-0.04,-0.38,1.22
0.419,0.05,-0.11,1.31
0.423,0.16,0.02,1.31
0.430,0.22,0.01,1.24
0.433,0.13,-0.00,1.10
0.438,0.05,0.04,0.98
0.483,0.04,0.09,0.93
0.484,0.04,0.13,0.90
0.484,0.04,0.15,0.88
0.485,0.04,0.13,0.90
0.485,0.08,0.15,0.96
0.486,0.14,0.23,1.03
0.486,0.25,0.45,1.32
0.487,0.26,0.50,1.36
0.488,0.20,0.50,1.26
0.488,0.14,0.46,1.20
0.498,0.14,0.39,1.15
0.499,0.13,0.31,1.06
0.502,0.10,0.28,0.93
0.516,0.07,0.21,0.86
0.517,0.08,0.14,0.82
0.517,0.13,0.06,0.73
0.522,0.20,-0.13,0.69
0.532,0.26,-0.34,0.59
0.533,0.35,-0.43,0.61
0.537,0.44,-0.45,0.67
0.599,0.45,-0.28,0.79
0.599,0.38,0.06,0.81
0.600,0.33,0.27,0.83
0.600,0.29,0.27,0.77
0.601,0.24,0.17,0.64
0.601,0.17,0.08,0.58
0.602,0.08,0.07,0.60
0.602,-0.01,0.08,0.58
0.603,-0.11,0.06,0.57
0.603,-0.21,0.02,0.49
0.604,-0.27,-0.02,0.40
0.604,-0.28,-0.03,0.35
0.605,-0.31,-0.01,0.26
0.606,-0.30,-0.00,0.19
0.612,-0.28,-0.01,0.09
0.616,-0.27,-0.06,-0.00
0.621,-0.29,-0.08,-0.08
0.629,-0.29,-0.09,-0.21
0.631,-0.31,-0.10,-0.34
0.636,-0.30,-0.09,-0.47
0.646,-0.30,-0.09,-0.62
0.646,-0.30,-0.09,-0.75
0.651,-0.31,-0.12,-0.84
0.655,-0.32,-0.15,-0.90
0.725,-0.35,-0.19,-0.94
0.729,-0.34,-0.23,-0.95
0.731,-0.34,-0.27,-0.93
0.732,-0.32,-0.30,-0.91
0.745,-0.33,-0.32,-0.96
0.753,-0.32,-0.35,-1.05
0.754,-0.27,-0.39,-1.11
0.762,-0.23,-0.41,-1.16
0.762,-0.21,-0.40,-1.24
0.763,-0.15,-0.38,-1.34
0.765,-0.10,-0.37,-1.47
0.766,0.00,-0.32,-1.58
0.766,0.10,-0.26,-1.71
0.767,0.18,-0.22,-1.80
0.768,0.32,-0.22,-1.86
0.770,0.42,-0.22,-1.87
0.771,0.43,-0.22,-1.84
0.771,0.45,-0.25,-1.82
0.772,0.47,-0.32,-1.74
0.773,0.45,-0.39,-1.65
0.774,0.42,-0.44,-1.57
0.775,0.34,-0.46,-1.52
0.776,0.25,-0.51,-1.49
0.777,0.15,-0.56,-1.44
0.792,-0.02,-0.59,-1.32
0.793,-0.17,-0.63,-1.15
0.794,-0.21,-0.67,-1.16
0.795,-0.19,-0.67,-1.33
0.801,-0.16,-0.59,-1.44
0.805,-0.16,-0.57,-1.40
0.885,-0.17,-0.58,-1.31
0.886,-0.17,-0.57,-1.28
0.887,-0.15,-0.54,-1.32
0.888,-0.17,-0.51,-1.40
0.889,-0.18,-0.51,-1.43
0.890,-0.20,-0.50,-1.45
0.890,-0.25,-0.46,-1.51
0.891,-0.30,-0.44,-1.57
0.892,-0.34,-0.45,-1.64
0.893,-0.37,-0.44,-1.69
0.894,-0.36,-0.43,-1.72
0.895,-0.35,-0.41,-1.73
0.896,-0.31,-0.40,-1.73
0.897,-0.23,-0.41,-1.69
0.898,-0.15,-0.43,-1.70
0.898,-0.06,-0.45,-1.71
0.899,0.01,-0.49,-1.73
0.900,0.06,-0.53,-1.69
0.900,0.09,-0.53,-1.61
0.903,0.12,-0.53,-1.53
0.908,0.10,-0.51,-1.49
0.916,0.11,-0.51,-1.45
0.918,0.13,-0.51,-1.43
0.924,0.14,-0.50,-1.40
1.008,0.16,-0.49,-1.39
1.009,0.18,-0.48,-1.38
1.009,0.21,-0.44,-1.39
1.010,0.25,-0.42,-1.42
1.011,0.30,-0.39,-1.41
1.012,0.33,-0.35,-1.40
1.013,0.37,-0.34,-1.38
1.014,0.42,-0.33,-1.38
1.014,0.45,-0.33,-1.30
1.015,0.48,-0.35,-1.24
1.016,0.55,-0.36,-1.18
1.017,0.58,-0.37,-1.09
1.018,0.61,-0.37,-0.96
1.018,0.63,-0.36,-0.83
1.019,0.66,-0.35,-0.69
1.020,0.67,-0.34,-0.57
1.021,0.67,-0.31,-0.49
1.021,0.62,-0.29,-0.43
1.022,0.52,-0.26,-0.44
1.023,0.46,-0.23,-0.45
1.034,0.42,-0.23,-0.50
1.035,0.37,-0.22,-0.54
1.037,0.31,-0.13,-0.60
1.105,0.32,-0.10,-0.53
1.106,0.37,-0.09,-0.49
1.108,0.43,-0.05,-0.46
1.109,0.48,-0.00,-0.46
1.111,0.50,0.05,-0.40
1.115,0.55,0.06,-0.36
1.116,0.60,0.07,-0.29
1.117,0.63,0.09,-0.23
1.118,0.61,0.09,-0.16
1.118,0.55,0.10,-0.11
1.119,0.52,0.08,0.00
1.120,0.50,0.06,0.07
1.121,0.47,0.06,0.14
1.122,0.43,0.07,0.17
1.123,0.37,0.08,0.20
1.124,0.30,0.09,0.20
1.125,0.25,0.09,0.21
1.126,0.23,0.09,0.20
1.267,0.20,0.09,0.17
1.269,0.18,0.11,0.14
1.270,0.19,0.14,0.15
1.271,0.22,0.16,0.11
1.271,0.24,0.18,0.13
1.272,0.28,0.19,0.14
1.273,0.31,0.21,0.15
1.273,0.34,0.22,0.14
1.274,0.38,0.23,0.17
1.275,0.44,0.24,0.18
