time,x,y,z
0.006,0.06,0.74,0.60
0.007,0.06,0.75,0.62
0.011,0.08,0.75,0.65
0.017,0.10,0.75,0.69
0.022,0.11,0.76,0.72
0.026,0.12,0.76,0.74
0.031,0.12,0.76,0.76
0.038,0.12,0.75,0.77
0.041,0.12,0.74,0.77
0.046,0.11,0.74,0.77
0.082,0.11,0.74,0.76
0.082,0.11,0.74,0.75
0.083,0.10,0.74,0.73
0.086,0.11,0.74,0.72
0.086,0.11,0.74,0.71
0.087,0.11,0.74,0.70
0.087,0.11,0.74,0.68
0.088,0.11,0.74,0.68
0.093,0.11,0.75,0.67
0.096,0.11,0.75,0.67
0.104,0.10,0.75,0.67
0.106,0.10,0.75,0.67
0.111,0.10,0.74,0.67
0.115,0.10,0.74,0.68
0.121,0.10,0.74,0.68
0.125,0.09,0.74,0.69
0.130,0.09,0.74,0.69
0.138,0.10,0.74,0.70
0.140,0.10,0.74,0.71
0.145,0.11,0.74,0.71
0.150,0.12,0.73,0.71
0.155,0.12,0.73,0.72
0.160,0.13,0.73,0.73
0.165,0.13,0.72,0.74
0.201,0.14,0.72,0.75
0.202,0.14,0.72,0.75
0.203,0.14,0.72,0.75
0.203,0.14,0.72,0.75
0.204,0.14,0.72,0.75
0.205,0.14,0.72,0.75
0.205,0.15,0.72,0.75
0.206,0.15,0.72,0.74
0.209,0.15,0.72,0.74
0.214,0.15,0.72,0.73
0.221,0.15,0.73,0.72
0.224,0.14,0.73,0.71
0.229,0.14,0.73,0.70
0.237,0.13,0.73,0.69
0.239,0.13,0.73,0.68
0.244,0.12,0.72,0.67
0.249,0.12,0.72,0.66
0.254,0.12,0.72,0.66
0.259,0.12,0.72,0.66
0.264,0.12,0.72,0.66
0.300,0.11,0.73,0.67
0.301,0.11,0.73,0.68
0.301,0.12,0.74,0.69
0.302,0.12,0.73,0.69
0.303,0.13,0.73,0.70
0.303,0.14,0.72,0.70
0.304,0.14,0.72,0.70
0.304,0.15,0.72,0.70
0.308,0.15,0.72,0.70
0.313,0.15,0.72,0.70
0.321,0.15,0.72,0.70
0.323,0.15,0.72,0.70
0.328,0.15,0.71,0.70
0.338,0.15,0.71,0.70
0.339,0.15,0.71,0.69
0.343,0.14,0.72,0.69
0.348,0.13,0.72,0.69
0.355,0.13,0.73,0.69
0.358,0.12,0.72,0.69
0.362,0.12,0.72,0.70
0.404,0.12,0.72,0.70
0.405,0.13,0.71,0.70
0.405,0.13,0.71,0.70
0.406,0.13,0.71,0.70
0.406,0.13,0.72,0.71
0.407,0.13,0.72,0.71
0.408,0.13,0.72,0.72
0.408,0.13,0.72,0.72
0.409,0.13,0.72,0.72
0.412,0.12,0.72,0.72
0.421,0.12,0.72,0.72
0.422,0.12,0.72,0.71
0.427,0.13,0.72,0.71
0.432,0.12,0.72,0.70
0.438,0.12,0.72,0.69
0.442,0.12,0.73,0.69
0.447,0.12,0.72,0.69
0.454,0.12,0.72,0.69
0.457,0.12,0.72,0.69
0.462,0.11,0.72,0.70
0.467,0.10,0.72,0.71
0.518,0.10,0.72,0.72
0.519,0.10,0.72,0.72
0.520,0.10,0.72,0.73
0.520,0.11,0.72,0.73
0.521,0.11,0.72,0.74
0.522,0.12,0.72,0.74
0.523,0.12,0.72,0.73
0.523,0.12,0.72,0.72
0.524,0.11,0.72,0.72
0.525,0.11,0.73,0.71
0.525,0.12,0.73,0.71
0.527,0.12,0.72,0.71
0.532,0.12,0.72,0.70
0.544,0.12,0.72,0.70
0.545,0.13,0.72,0.70
0.546,0.12,0.72,0.70
0.565,0.12,0.72,0.70
0.566,0.12,0.73,0.70
0.568,0.11,0.73,0.71
0.569,0.11,0.73,0.72
0.631,0.10,0.72,0.72
0.632,0.10,0.72,0.72
0.633,0.09,0.72,0.72
0.634,0.08,0.72,0.72
0.635,0.07,0.72,0.72
0.636,0.06,0.72,0.71
0.636,0.06,0.72,0.71
0.637,0.05,0.71,0.71
0.638,0.04,0.72,0.72
0.638,0.04,0.72,0.72
0.639,0.03,0.72,0.73
0.640,0.02,0.72,0.74
0.640,0.02,0.72,0.75
0.641,0.00,0.71,0.75
0.642,-0.01,0.72,0.76
0.650,-0.02,0.72,0.76
0.651,-0.03,0.72,0.76
0.655,-0.05,0.71,0.76
0.660,-0.06,0.71,0.76
0.665,-0.08,0.71,0.77
0.784,-0.10,0.71,0.76
0.790,-0.11,0.71,0.77
0.796,-0.13,0.71,0.77
0.804,-0.14,0.70,0.78
0.805,-0.16,0.70,0.79
