time,x,y,z
0.003,0.00,0.09,1.06
0.008,-0.00,0.09,1.06
0.044,-0.01,0.09,1.04
0.044,-0.00,0.09,1.02
0.045,-0.01,0.08,1.01
0.045,-0.01,0.08,1.00
0.046,-0.02,0.08,1.00
0.047,-0.02,0.08,1.00
0.047,-0.03,0.08,1.01
0.048,-0.04,0.08,1.02
0.054,-0.05,0.08,1.02
0.057,-0.05,0.07,1.02
0.066,-0.05,0.07,1.02
0.067,-0.05,0.07,1.01
0.072,-0.05,0.07,1.01
0.077,-0.05,0.07,1.00
0.082,-0.04,0.07,1.00
0.087,-0.03,0.08,1.01
0.092,-0.02,0.08,1.02
0.131,-0.01,0.08,1.03
0.131,-0.01,0.08,1.03
0.132,-0.01,0.07,1.04
0.132,-0.01,0.07,1.05
0.133,-0.02,0.07,1.07
0.133,-0.02,0.07,1.08
0.134,-0.02,0.06,1.08
0.134,-0.02,0.06,1.07
0.136,-0.03,0.06,1.06
0.141,-0.04,0.06,1.04
0.149,-0.04,0.06,1.03
0.152,-0.04,0.07,1.01
0.156,-0.04,0.07,1.00
0.161,-0.04,0.07,1.00
0.167,-0.04,0.08,1.00
0.171,-0.03,0.08,1.01
0.176,-0.03,0.08,1.01
0.182,-0.03,0.07,1.01
0.186,-0.02,0.06,1.01
0.190,-0.02,0.06,1.01
0.199,-0.02,0.06,1.00
0.200,-0.02,0.07,0.99
0.205,-0.02,0.07,0.98
0.210,-0.02,0.07,0.98
0.265,-0.02,0.08,0.98
0.265,-0.01,0.08,0.99
0.266,-0.01,0.08,1.01
0.266,-0.01,0.09,1.03
0.267,-0.01,0.09,1.05
0.268,-0.00,0.08,1.06
0.268,-0.01,0.08,1.07
0.269,-0.01,0.08,1.07
0.269,-0.02,0.08,1.07
0.303,-0.02,0.08,1.07
0.304,-0.03,0.08,1.06
0.305,-0.04,0.08,1.06
0.306,-0.04,0.09,1.05
0.306,-0.03,0.09,1.05
0.307,-0.03,0.09,1.05
0.308,-0.03,0.10,1.04
0.309,-0.04,0.10,1.04
0.309,-0.03,0.11,1.04
0.310,-0.03,0.12,1.05
0.313,-0.03,0.11,1.05
0.315,-0.03,0.11,1.03
0.329,-0.04,0.12,1.02
0.330,-0.05,0.13,1.02
0.331,-0.06,0.15,1.02
0.336,-0.07,0.17,1.01
0.341,-0.07,0.18,1.01
0.344,-0.07,0.19,1.02
0.356,-0.07,0.20,1.01
0.357,-0.07,0.21,1.01
0.360,-0.07,0.23,1.01
0.416,-0.07,0.25,1.00
0.417,-0.08,0.27,1.00
0.418,-0.07,0.29,1.00
0.419,-0.07,0.30,1.00
0.419,-0.07,0.32,1.01
0.420,-0.06,0.33,1.01
0.420,-0.06,0.35,1.02
0.421,-0.05,0.36,1.02
0.422,-0.05,0.38,1.02
0.422,-0.04,0.39,1.03
0.423,-0.03,0.41,1.04
0.424,-0.03,0.42,1.04
0.424,-0.02,0.43,1.04
0.436,-0.02,0.44,1.04
0.438,-0.02,0.44,1.04
0.439,-0.03,0.45,1.05
0.444,-0.04,0.46,1.06
0.504,-0.05,0.46,1.07
0.505,-0.06,0.47,1.08
0.506,-0.06,0.47,1.09
0.507,-0.06,0.46,1.10
0.508,-0.05,0.47,1.12
0.508,-0.05,0.47,1.12
0.509,-0.03,0.47,1.12
0.510,-0.02,0.47,1.13
0.511,-0.01,0.47,1.13
0.512,0.00,0.46,1.13
0.512,0.01,0.45,1.13
0.513,0.01,0.44,1.14
0.514,0.01,0.43,1.14
0.514,0.01,0.41,1.14
0.522,-0.00,0.40,1.14
0.524,-0.01,0.38,1.14
0.528,-0.02,0.37,1.13
0.580,-0.03,0.35,1.13
0.581,-0.04,0.35,1.13
0.582,-0.04,0.34,1.13
0.582,-0.05,0.34,1.12
0.583,-0.05,0.33,1.12
0.584,-0.05,0.32,1.11
0.585,-0.05,0.30,1.10
0.585,-0.05,0.29,1.09
0.586,-0.04,0.28,1.08
0.587,-0.03,0.27,1.07
0.588,-0.03,0.26,1.07
0.589,-0.03,0.24,1.06
0.593,-0.03,0.23,1.07
0.602,-0.04,0.22,1.07
0.603,-0.05,0.21,1.07
0.607,-0.06,0.20,1.06
0.663,-0.07,0.19,1.05
0.664,-0.08,0.18,1.04
0.665,-0.09,0.17,1.03
0.666,-0.08,0.15,1.03
0.666,-0.07,0.13,1.03
0.667,-0.05,0.10,1.02
0.668,-0.04,0.08,1.02
0.668,-0.03,0.06,1.01
0.669,-0.02,0.04,1.00
0.669,-0.01,0.01,0.99
0.670,0.02,-0.01,0.98
0.671,0.04,-0.03,0.97
0.671,0.05,-0.06,0.97
0.677,0.06,-0.08,0.96
0.684,0.05,-0.10,0.96
0.686,0.03,-0.12,0.97
0.691,-0.00,-0.14,0.97
0.702,-0.03,-0.16,0.96
0.703,-0.05,-0.19,0.97
0.707,-0.07,-0.22,0.96
0.711,-0.07,-0.25,0.95
0.765,-0.06,-0.27,0.94
0.766,-0.04,-0.29,0.94
0.767,-0.02,-0.30,0.94
0.768,0.00,-0.31,0.94
0.769,0.02,-0.31,0.95
0.770,0.05,-0.31,0.95
0.771,0.07,-0.32,0.96
0.772,0.10,-0.34,0.96
0.817,0.13,-0.37,0.96
0.817,0.14,-0.39,0.96
0.818,0.13,-0.41,0.95
0.819,0.11,-0.43,0.95
0.820,0.08,-0.44,0.95
0.820,0.03,-0.46,0.95
0.821,-0.00,-0.48,0.96
0.821,-0.03,-0.50,0.98
0.822,-0.06,-0.52,1.01
0.823,-0.08,-0.53,1.03
0.824,-0.09,-0.53,1.06
0.824,-0.09,-0.53,1.10
0.825,-0.09,-0.54,1.14
0.825,-0.08,-0.55,1.17
0.826,-0.06,-0.55,1.19
0.838,-0.03,-0.56,1.20
0.839,-0.01,-0.56,1.21
0.840,0.02,-0.56,1.21
0.854,0.03,-0.55,1.21
0.856,0.05,-0.53,1.21
0.856,0.06,-0.50,1.20
0.861,0.06,-0.47,1.19
0.940,0.05,-0.45,1.18
0.941,0.05,-0.43,1.17
0.941,0.04,-0.41,1.15
0.942,0.04,-0.40,1.14
0.944,0.04,-0.38,1.13
0.944,0.04,-0.36,1.12
0.945,0.04,-0.35,1.11
0.946,0.04,-0.34,1.10
0.946,0.03,-0.33,1.09
0.947,0.03,-0.32,1.08
0.948,0.03,-0.30,1.07
0.949,0.03,-0.28,1.06
0.949,0.03,-0.26,1.05
0.950,0.04,-0.24,1.04
0.950,0.04,-0.22,1.04
0.951,0.05,-0.19,1.03
0.952,0.05,-0.16,1.03
0.953,0.06,-0.12,1.04
0.953,0.07,-0.10,1.05
0.962,0.08,-0.08,1.05
0.963,0.08,-0.07,1.05
0.968,0.07,-0.05,1.05
0.973,0.06,-0.04,1.05
0.977,0.03,-0.03,1.04
1.028,0.01,-0.02,1.02
1.029,-0.00,-0.02,1.00
1.029,-0.02,-0.02,0.99
1.030,-0.03,-0.03,0.98
1.031,-0.05,-0.03,0.98
1.032,-0.07,-0.02,0.99
1.032,-0.09,-0.01,0.99
1.033,-0.10,0.01,1.00
1.033,-0.10,0.02,1.01
1.034,-0.09,0.03,1.02
1.035,-0.07,0.04,1.03
1.037,-0.06,0.05,1.04
1.044,-0.06,0.06,1.05
1.052,-0.05,0.07,1.05
1.053,-0.04,0.09,1.05
1.057,-0.03,0.11,1.05
1.119,-0.03,0.12,1.05
1.120,-0.03,0.13,1.05
1.121,-0.03,0.13,1.04
1.122,-0.04,0.14,1.04
1.122,-0.05,0.14,1.03
1.123,-0.06,0.14,1.03
1.123,-0.08,0.15,1.03
1.124,-0.10,0.15,1.03
1.125,-0.12,0.15,1.03
1.126,-0.15,0.16,1.04
1.126,-0.18,0.16,1.05
1.127,-0.22,0.17,1.07
1.127,-0.25,0.17,1.08
1.128,-0.28,0.17,1.09
1.136,-0.31,0.18,1.10
1.137,-0.33,0.18,1.12
1.142,-0.35,0.18,1.13
1.204,-0.36,0.18,1.13
1.204,-0.38,0.18,1.13
1.205,-0.40,0.18,1.13
1.206,-0.41,0.18,1.13
1.206,-0.42,0.18,1.13
1.207,-0.42,0.18,1.14
1.208,-0.42,0.18,1.14
1.208,-0.43,0.19,1.14
1.211,-0.44,0.20,1.14
1.212,-0.46,0.21,1.14
1.213,-0.47,0.22,1.15
1.214,-0.48,0.23,1.15
1.215,-0.50,0.23,1.15
1.215,-0.50,0.23,1.15
1.216,-0.50,0.24,1.14
1.224,-0.49,0.25,1.13
1.225,-0.49,0.25,1.11
1.284,-0.48,0.25,1.09
1.285,-0.48,0.25,1.08
1.285,-0.48,0.25,1.06
1.286,-0.49,0.25,1.04
1.323,-0.50,0.24,1.02
1.323,-0.51,0.24,1.00
1.324,-0.52,0.23,1.00
1.325,-0.52,0.23,0.99
1.326,-0.53,0.22,1.00
1.326,-0.52,0.22,1.01
1.327,-0.52,0.22,1.02
1.328,-0.52,0.21,1.03
1.328,-0.51,0.20,1.04
1.329,-0.50,0.18,1.04
1.329,-0.48,0.16,1.03
1.330,-0.47,0.15,1.02
1.331,-0.45,0.13,1.00
1.331,-0.44,0.11,0.97
1.332,-0.42,0.10,0.94
1.333,-0.41,0.08,0.92
1.333,-0.39,0.06,0.90
1.334,-0.38,0.05,0.89
1.345,-0.36,0.04,0.87
1.346,-0.34,0.02,0.86
1.348,-0.31,0.02,0.85
1.354,-0.28,0.01,0.85
1.359,-0.24,0.00,0.85
1.367,-0.18,0.00,0.85
1.368,-0.12,0.00,0.86
1.373,-0.07,0.01,0.87
1.383,-0.03,0.02,0.88
1.384,0.01,0.03,0.90
1.465,0.04,0.03,0.91
1.466,0.07,0.02,0.92
1.467,0.09,0.01,0.92
1.468,0.11,-0.00,0.93
1.469,0.12,-0.02,0.94
1.469,0.14,-0.03,0.95
1.470,0.16,-0.05,0.98
1.471,0.20,-0.06,1.00
1.472,0.25,-0.07,1.04
1.472,0.31,-0.08,1.07
1.473,0.37,-0.08,1.11
1.474,0.44,-0.09,1.14
1.474,0.49,-0.09,1.17
1.478,0.53,-0.09,1.20
1.479,0.57,-0.08,1.23
1.482,0.61,-0.07,1.24
1.483,0.65,-0.06,1.25
1.485,0.67,-0.05,1.25
1.487,0.69,-0.06,1.24
1.489,0.70,-0.06,1.24
1.491,0.70,-0.07,1.22
1.492,0.70,-0.07,1.21
1.509,0.68,-0.07,1.18
1.511,0.66,-0.07,1.18
1.512,0.63,-0.07,1.17
1.513,0.60,-0.07,1.17
1.516,0.58,-0.08,1.16
1.522,0.55,-0.09,1.15
1.601,0.53,-0.10,1.15
1.602,0.51,-0.10,1.14
1.602,0.49,-0.11,1.14
1.603,0.47,-0.11,1.12
1.604,0.45,-0.10,1.11
1.605,0.43,-0.10,1.09
1.605,0.42,-0.09,1.07
1.606,0.41,-0.08,1.05
1.607,0.39,-0.08,1.03
1.607,0.37,-0.08,1.01
1.608,0.35,-0.07,0.99
1.610,0.32,-0.07,0.97
1.611,0.29,-0.07,0.96
1.611,0.25,-0.06,0.95
1.612,0.21,-0.05,0.94
1.612,0.18,-0.04,0.93
1.613,0.16,-0.04,0.93
1.614,0.13,-0.04,0.94
1.615,0.11,-0.03,0.95
1.702,0.10,-0.02,0.96
1.703,0.08,-0.01,0.98
1.703,0.07,0.00,1.00
1.704,0.06,0.01,1.02
1.705,0.05,0.02,1.05
1.705,0.04,0.03,1.07
1.706,0.03,0.03,1.09
1.707,0.01,0.03,1.11
1.707,-0.01,0.02,1.13
1.709,-0.03,0.02,1.14
1.710,-0.05,0.01,1.14
1.710,-0.09,0.01,1.14
1.711,-0.11,0.01,1.14
1.711,-0.13,0.01,1.13
1.712,-0.13,0.02,1.11
1.713,-0.13,0.02,1.10
1.713,-0.11,0.02,1.09
1.714,-0.09,0.03,1.08
1.715,-0.07,0.03,1.08
1.715,-0.06,0.04,1.08
1.759,-0.04,0.05,1.08
1.759,-0.04,0.06,1.09
1.760,-0.03,0.06,1.09
1.761,-0.03,0.05,1.09
1.762,-0.03,0.04,1.09
1.767,-0.03,0.03,1.09
1.768,-0.03,0.02,1.08
1.769,-0.02,0.01,1.08
