time,x,y,z
0.004,0.04,0.10,1.01
0.009,0.03,0.10,1.01
0.016,0.03,0.11,1.01
0.019,0.02,0.11,1.01
0.024,0.01,0.10,1.00
0.066,-0.01,0.10,1.00
0.067,-0.02,0.09,1.01
0.067,-0.03,0.10,1.01
0.067,-0.03,0.09,1.02
0.068,-0.04,0.08,1.03
0.069,-0.04,0.07,1.04
0.069,-0.05,0.07,1.07
0.070,-0.03,0.07,1.10
0.070,-0.01,0.07,1.11
0.074,-0.01,0.06,1.10
0.082,-0.01,0.06,1.09
0.084,-0.02,0.07,1.07
0.088,-0.02,0.07,1.05
0.094,-0.02,0.08,1.04
0.100,-0.02,0.08,1.03
0.103,-0.02,0.08,1.03
0.108,-0.01,0.08,1.03
0.115,-0.01,0.10,1.04
0.118,-0.00,0.10,1.04
0.123,-0.01,0.10,1.04
0.162,-0.01,0.11,1.04
0.163,-0.02,0.11,1.04
0.163,-0.01,0.11,1.05
0.164,0.00,0.10,1.06
0.164,0.02,0.10,1.07
0.165,0.02,0.10,1.08
0.165,0.02,0.10,1.09
0.165,0.01,0.10,1.10
0.168,0.00,0.11,1.10
0.173,-0.01,0.11,1.11
0.182,-0.01,0.11,1.12
0.183,-0.02,0.11,1.13
0.187,-0.03,0.11,1.14
0.192,-0.04,0.12,1.15
0.198,-0.04,0.13,1.18
0.202,-0.04,0.13,1.21
0.207,-0.03,0.14,1.24
0.214,-0.02,0.14,1.28
0.217,-0.02,0.15,1.32
0.222,-0.03,0.16,1.35
0.264,-0.03,0.17,1.38
0.264,-0.03,0.18,1.41
0.318,-0.04,0.19,1.45
0.319,-0.04,0.21,1.48
0.319,-0.05,0.22,1.53
0.320,-0.05,0.23,1.58
0.320,-0.06,0.25,1.63
0.321,-0.08,0.27,1.68
0.321,-0.10,0.29,1.73
0.322,-0.12,0.30,1.78
0.322,-0.14,0.31,1.83
0.323,-0.16,0.31,1.88
0.323,-0.16,0.31,1.91
0.324,-0.15,0.31,1.94
0.324,-0.13,0.31,1.95
0.325,-0.12,0.31,1.97
0.327,-0.17,0.30,1.96
0.327,-0.12,0.32,1.99
0.328,-0.05,0.30,2.00
0.328,0.01,0.30,2.00
0.329,0.09,0.31,2.00
0.355,0.19,0.32,2.00
0.356,0.28,0.32,2.00
0.356,0.32,0.32,2.00
0.356,0.31,0.33,2.00
0.357,0.28,0.34,2.00
0.357,0.23,0.35,2.00
0.367,0.19,0.36,2.00
0.367,0.16,0.35,2.00
0.370,0.15,0.33,2.00
0.376,0.17,0.30,2.00
0.418,0.18,0.27,1.97
0.419,0.20,0.25,1.94
0.419,0.21,0.24,1.89
0.420,0.23,0.24,1.85
0.420,0.24,0.24,1.81
0.420,0.25,0.23,1.77
0.421,0.26,0.22,1.72
0.421,0.26,0.20,1.67
0.422,0.26,0.17,1.63
0.426,0.24,0.15,1.59
0.433,0.21,0.13,1.56
0.435,0.18,0.12,1.54
0.440,0.16,0.12,1.54
0.448,0.16,0.11,1.52
0.450,0.18,0.11,1.50
0.454,0.18,0.10,1.47
0.547,0.16,0.09,1.42
0.548,0.13,0.07,1.34
0.549,0.11,0.04,1.25
0.549,0.08,0.02,1.15
0.550,0.07,-0.00,1.04
0.550,0.07,-0.02,0.95
0.551,0.07,-0.03,0.88
0.551,0.07,-0.04,0.83
0.552,0.07,-0.04,0.77
0.552,0.07,-0.05,0.69
0.553,0.08,-0.06,0.62
0.554,0.10,-0.07,0.55
0.554,0.11,-0.07,0.50
0.555,0.10,-0.07,0.44
0.555,0.09,-0.07,0.39
0.556,0.09,-0.06,0.33
0.556,0.10,-0.06,0.26
0.557,0.12,-0.04,0.20
0.557,0.14,-0.02,0.13
0.558,0.13,-0.01,0.07
0.558,0.10,-0.02,0.03
