time,x,y,z
0.003,0.08,0.87,0.65
0.014,0.08,0.86,0.67
0.014,0.08,0.86,0.65
0.018,0.08,0.86,0.63
0.024,0.07,0.87,0.62
0.029,0.05,0.87,0.60
0.033,0.04,0.87,0.58
0.038,0.04,0.88,0.57
0.084,0.03,0.86,0.55
0.085,0.03,0.86,0.55
0.085,0.03,0.86,0.55
0.086,0.04,0.86,0.54
0.086,0.05,0.86,0.55
0.087,0.07,0.85,0.52
0.088,0.08,0.86,0.50
0.088,0.07,0.87,0.47
0.089,0.04,0.86,0.47
0.090,0.04,0.87,0.47
0.096,0.04,0.86,0.47
0.098,0.03,0.86,0.48
0.103,0.05,0.86,0.49
0.107,0.05,0.86,0.51
0.113,0.07,0.85,0.51
0.117,0.08,0.86,0.53
0.122,0.10,0.87,0.54
0.129,0.11,0.86,0.56
0.133,0.10,0.86,0.56
0.138,0.09,0.85,0.55
0.187,0.08,0.86,0.56
0.188,0.08,0.87,0.55
0.188,0.07,0.86,0.55
0.189,0.08,0.87,0.52
0.189,0.06,0.86,0.53
0.190,0.06,0.86,0.51
0.190,0.07,0.86,0.50
0.191,0.06,0.86,0.50
0.192,0.05,0.86,0.48
0.192,0.06,0.85,0.47
0.193,0.04,0.86,0.46
0.199,0.04,0.85,0.47
0.202,0.04,0.85,0.48
0.207,0.04,0.87,0.50
0.213,0.04,0.87,0.50
0.216,0.05,0.87,0.53
0.221,0.06,0.87,0.53
0.229,0.06,0.87,0.54
0.231,0.06,0.88,0.54
0.236,0.06,0.87,0.53
0.240,0.05,0.87,0.54
0.278,0.05,0.87,0.50
0.279,0.05,0.86,0.51
0.279,0.04,0.87,0.52
0.280,0.04,0.89,0.50
0.280,0.04,0.89,0.50
0.281,0.02,0.88,0.50
0.281,0.02,0.89,0.50
0.282,0.01,0.89,0.49
0.286,-0.00,0.91,0.47
0.290,-0.01,0.90,0.49
0.297,-0.04,0.91,0.52
0.301,-0.08,0.94,0.52
0.305,-0.10,0.95,0.56
0.312,-0.11,0.96,0.59
0.315,-0.16,0.97,0.60
0.320,-0.20,0.98,0.61
0.329,-0.23,0.99,0.64
0.331,-0.25,1.01,0.66
0.335,-0.26,1.01,0.67
0.340,-0.25,1.00,0.67
0.381,-0.25,0.98,0.68
0.382,-0.25,0.98,0.67
0.382,-0.26,0.97,0.68
0.383,-0.25,0.98,0.68
0.383,-0.27,0.99,0.66
0.384,-0.29,1.00,0.68
0.384,-0.32,1.01,0.68
0.385,-0.35,1.01,0.68
0.385,-0.37,1.02,0.68
0.389,-0.39,1.01,0.70
0.395,-0.41,1.01,0.71
0.399,-0.43,0.99,0.72
0.404,-0.44,0.96,0.78
0.411,-0.45,0.95,0.84
0.413,-0.45,0.93,0.85
0.418,-0.47,0.90,0.88
0.427,-0.48,0.88,0.88
0.429,-0.50,0.88,0.88
0.433,-0.51,0.87,0.90
0.439,-0.52,0.85,0.89
0.473,-0.52,0.83,0.87
0.474,-0.51,0.82,0.87
0.474,-0.50,0.81,0.87
0.475,-0.49,0.79,0.85
0.475,-0.48,0.80,0.86
0.476,-0.48,0.80,0.85
0.476,-0.47,0.79,0.87
0.478,-0.48,0.79,0.90
0.483,-0.48,0.78,0.91
0.487,-0.48,0.76,0.91
0.494,-0.50,0.75,0.92
0.498,-0.51,0.75,0.93
0.502,-0.51,0.75,0.91
0.511,-0.51,0.76,0.92
0.513,-0.49,0.75,0.91
0.517,-0.46,0.75,0.91
0.523,-0.42,0.75,0.88
0.529,-0.40,0.75,0.86
0.532,-0.36,0.75,0.86
0.537,-0.34,0.74,0.85
0.585,-0.32,0.74,0.86
0.586,-0.29,0.72,0.86
0.587,-0.27,0.71,0.86
0.587,-0.24,0.71,0.87
0.588,-0.24,0.68,0.87
0.588,-0.23,0.66,0.88
0.592,-0.24,0.63,0.90
0.593,-0.25,0.60,0.89
0.594,-0.26,0.57,0.91
0.594,-0.28,0.54,0.91
0.595,-0.27,0.53,0.91
0.596,-0.28,0.50,0.88
0.605,-0.25,0.51,0.89
0.606,-0.22,0.49,0.86
0.615,-0.19,0.48,0.86
0.616,-0.16,0.48,0.84
0.621,-0.12,0.47,0.81
0.673,-0.07,0.47,0.80
0.673,-0.05,0.47,0.78
0.674,-0.03,0.48,0.78
0.674,-0.01,0.49,0.76
0.675,0.01,0.49,0.76
0.675,0.04,0.48,0.73
0.676,0.06,0.45,0.74
0.676,0.10,0.45,0.74
0.677,0.10,0.47,0.77
0.678,0.12,0.48,0.77
0.678,0.13,0.47,0.75
0.681,0.17,0.44,0.74
0.685,0.20,0.42,0.73
0.694,0.25,0.43,0.73
0.695,0.30,0.44,0.70
0.700,0.37,0.45,0.67
0.705,0.41,0.47,0.68
0.711,0.44,0.46,0.69
0.716,0.46,0.47,0.69
0.720,0.46,0.48,0.73
0.728,0.47,0.49,0.73
0.730,0.47,0.52,0.72
0.735,0.49,0.55,0.72
0.740,0.54,0.56,0.75
0.783,0.58,0.57,0.75
0.784,0.64,0.57,0.80
0.784,0.69,0.58,0.78
0.785,0.75,0.59,0.77
0.785,0.80,0.62,0.75
0.786,0.85,0.64,0.70
0.786,0.87,0.67,0.66
0.787,0.89,0.69,0.61
0.787,0.91,0.72,0.58
0.794,0.91,0.74,0.55
